P,1544988821,1544997821,4,418
J,1544995905,1544998770,59,-829
PY,1544992054,1544999135,70,215
DVG,1544992753,1544999201,57,251
PY,1544994083,1544999873,60,-457
P,1544998137,1545000549,71,-599
P,1544997920,1545000874,28,-233
DVG,1544997165,1545001599,55,856
PY,1544994398,1545001782,68,294
P,1544993539,1545002661,23,609
J,1544999206,1545003567,30,-422
W,1545000779,1545003790,77,-831
J,1544998749,1545004498,39,-642
DVG,1545000248,1545004568,32,776
PY,1545004202,1545005190,64,-671
J,1544997131,1545006124,95,134